FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time	Sample
75169.6953125	67878	46386	43426	207.90000915527344	2115.18017578125	72.36000061035156	2275.320068359375	611.0999755859375	8470.349609375	1990.1700439453125	2805.389892578125	3167.639892578125	12539.51953125	91.20000457763672	6881.76025390625	886.60003662109375	532.95001220703125	261.25	49558.30078125	4025270	AP0301
66222.2109375	56993	54158.40234375	47169	1365.1199951171875	3938.76025390625	186.260009765625	2805.9599609375	456.75	20596.58984375	4239.27001953125	5109.2998046875	6362.3701171875	9503.5498046875	213.00001525878906	5702.9404296875	2393.60009765625	1174.25	496.1000061035156	32181.6015625	5984200	AP0301
118953.6640625	102178	38033.40234375	34134	928.800048828125	5290.38037109375	152.08999633789063	8872.810546875	769.22998046875	21084.208984375	3897.179931640625	9960.9296875	39248.37109375	11052.7197265625	76.20000457763672	4188.7802734375	98.45000457763672	91.30000305175781	52.25	1070.300048828125	2945230.25	AP0301
59609.8125	52874	60364.203125	55614	350.46002197265625	2074.14013671875	141.37001037597656	3126.89013671875	688.5899658203125	15839.4599609375	2892.9599609375	5010.39013671875	7681.58984375	13639.5	120.60000610351562	9158.9404296875	1108.800048828125	564.85003662109375	251.35000610351563	85108.6484375	262540	AP0301
50575.1015625	46459	47968.203125	43739	728.46002197265625	4403.7001953125	969.49005126953125	6300.01025390625	858.05999755859375	8990.7294921875	1784.1600341796875	7529.759765625	24343.830078125	17702.369140625	105.60000610351562	11226.6005859375	1084.050048828125	738.6500244140625	316.8000183105469	71590.75	3665860.25	AP0301
86922.5625	76430	31448.400390625	27246	245.70001220703125	1719.360107421875	48.2400016784668	2566.77001953125	567.6300048828125	13139.2802734375	2265.47998046875	4524.02978515625	10337.0400390625	7073.64013671875	63.60000228881836	2668.68017578125	218.90000915527344	175.4499969482422	94.5999984741211	3767.5	4217230	AP0301
74526.75	69422	22171.201171875	21290	191.16000366210937	3277.800048828125	213.0600128173828	6560.64013671875	1226.6099853515625	16072.5595703125	11704.76953125	18910.080078125	7546.14013671875	9572.2197265625	77.4000015258789	3632.0400390625	767.25	1244.0999755859375	720.5	1261.7000732421875	1697200	AP0301
60027.05078125	54391	44766.6015625	41571	759.24005126953125	4136.93994140625	113.2300033569336	5019.64013671875	429.0299987792969	15803.5498046875	2791.530029296875	5165.3701171875	17164.98046875	7017.56982421875	85.20000457763672	4325.93994140625	350.3500061035156	189.75	137.5	3945.150146484375	3726910.25	AP0301
35116.48046875	30886	32763.6015625	29858	11117.5205078125	42382.44140625	80.4000015258789	7162.97021484375	900.89996337890625	12321.5400390625	2485.35009765625	4652.5498046875	11635.4697265625	11354.490234375	109.20000457763672	23161.681640625	1925.550048828125	952.050048828125	882.75	4022.150146484375	1742640.125	AP0301
53971.58203125	50511	37479.6015625	36255	147.42001342773437	1253.340087890625	99.83000183105469	2592.22998046875	388.0799865722656	4882.5	1405.530029296875	2305.169921875	1395.449951171875	3550.679931640625	63.60000228881836	1861.9200439453125	2430.449951171875	1031.25	331.1000061035156	5211.25	1910580.125	AP0301
