name	FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	176133	160414	20882.740234375	19402	832.72003173828125	491.1199951171875	46.22999954223633	974.85003662109375	343.1999816894531	23751.6484375	8626.1494140625	12976.599609375	4414.7998046875	6909.49951171875	148.23001098632812	2003.6800537109375	819.84002685546875	898.79998779296875	551.5999755859375	651.280029296875	937010
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	120172.203125	105079	38581.28125	28931	1042.719970703125	2139.199951171875	80.4000015258789	4524.51025390625	874.89996337890625	16335.1494140625	6210.75	12091.2998046875	23691.19921875	15366.6494140625	96.3800048828125	4429.60009765625	782.32000732421875	776.72003173828125	551.5999755859375	1999.760009765625	789210
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	161197.8125	147351	21130.400390625	19207	451.9200134277344	2501.52001953125	30.150001525878906	4684.64013671875	698.75	19906.8984375	10684.0498046875	17970.548828125	28605.849609375	11321.69921875	612.44000244140625	3337.60009765625	590.79998779296875	976.6400146484375	572.8800048828125	1011.3599853515625	328550
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	170880.609375	155571	29001.83984375	26615	280.55999755859375	259.8399963378906	44.88999938964844	889.760009765625	273	9140.2998046875	9602.44921875	14394.2490234375	4464.19970703125	4179.5	53.06999969482422	655.20001220703125	478.79998779296875	977.20001220703125	590.79998779296875	332.0799865722656	387480
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	173558.40625	156199	21123.080078125	20215	422.79998779296875	3896.47998046875	32.83000183105469	5355.97998046875	784.54998779296875	11220.2998046875	9677.19921875	19473.349609375	36364.8984375	11248.25	184.22000122070312	4048.239990234375	529.20001220703125	1355.760009765625	725.760009765625	918.96002197265625	1121620
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	146054.40625	129691	22992.73046875	20811	280	577.91998291015625	6.03000020980835	1070.6600341796875	689.64996337890625	24231.349609375	10781.5498046875	14821.94921875	5786.94970703125	10797.1494140625	75.63999938964844	3198.719970703125	560.55999755859375	995.67999267578125	554.96002197265625	1142.4000244140625	1014710
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	102507.0078125	85499	35783.8203125	30655	101.91999816894531	201.60000610351562	22.780000686645508	1005	535.5999755859375	21358.349609375	9609.599609375	14118.6494140625	5161.64990234375	6435.64990234375	178.73001098632812	1174.8800048828125	562.79998779296875	893.20001220703125	464.239990234375	564.47998046875	791820.0625
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	122827.8046875	110691	28928.640625	27427	180.32000732421875	950.8800048828125	30.150001525878906	1337.989990234375	444.5999755859375	5656.2998046875	1097.199951171875	1920.7498779296875	4562.349609375	10901.1494140625	57.95000076293945	6185.2001953125	514.08001708984375	259.2799987792969	244.16000366210937	37561.44140625	1361250
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	130759.203125	113587	23453.28125	20067	215.60000610351562	384.7200012207031	20.100000381469727	1041.8499755859375	607.75	23752.298828125	7305.349609375	9755.19921875	4730.69970703125	8304.3994140625	89.06000518798828	2163.840087890625	210	540.4000244140625	203.83999633789062	758.79998779296875	208440
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	142419	127538	18211.55078125	16802	761.5999755859375	2508.800048828125	-11.390000343322754	4697.3701171875	577.8499755859375	18995.599609375	10578.099609375	19221.1484375	27894.099609375	9707.099609375	296.46002197265625	2829.1201171875	372.3999938964844	800.239990234375	524.72003173828125	796.8800048828125	1151430
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	109389.6015625	99398	21256.669921875	19458	520.239990234375	2671.199951171875	36.85000228881836	4267.89990234375	501.79998779296875	22517.94921875	9655.75	17965.349609375	27530.099609375	6760.64990234375	501.4200134277344	2447.199951171875	475.44000244140625	837.20001220703125	567.280029296875	613.760009765625	1165050
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	81604.203125	75283	29883.900390625	27911	258.7200012207031	385.8399963378906	27.470001220703125	703.5	442.6499938964844	16939	5541.89990234375	8214.69921875	2733.25	5497.0498046875	100.6500015258789	1188.3199462890625	292.32000732421875	382.4800109863281	262.6400146484375	588.55999755859375	1072800
